Sample Annotation,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27
Compound911,7.431323353,7.097490704,7.348407542,7.435453444,7.2228558,7.366543438,7.285882558,7.091165818,7.510506797,7.389370384,7.062857542,7.656514914,7.410365534,7.394172824,7.662322981,7.4705815,7.43981221,7.602182844,7.179779328,7.207784015,7.435934616,7.489141717,7.187820058,7.396091331,7.41246831,7.419708145,7.508208383
Compound1157,7.404267316,7.483064106,7.179613239,7.398036193,7.315860002,7.422912127,7.44460821,7.497666036,7.465228153,7.334125272,7.165202723,7.447305199,7.396226813,7.434619501,7.185336468,7.394583815,7.349639694,7.367217915,7.418195318,7.432578444,7.5752142,7.424886931,7.376180931,7.415798178,7.569427858,7.375491217,7.496934706
Compound3159,6.929256199,6.814442253,7.009809568,6.843265799,6.896721299,6.821814036,6.599796364,7.008186862,7.028916546,7.018478985,6.720251571,6.687544439,7.055304904,6.692422227,7.068506797,6.911759186,6.828021337,6.846533663,7.023079281,6.867625398,6.968496497,6.756234726,7.100112899,6.981491899,6.971486104,6.664601505,6.899193642
Compound3514,6.814551738,6.714828333,6.850887517,6.863405613,6.705667551,6.883652116,6.559939596,6.949100029,6.699442953,6.768954677,6.599353853,6.708342595,6.897206636,6.845298392,6.623446423,6.823793518,6.811099614,6.856533477,6.973576433,6.775120858,6.953503733,6.805076048,6.88513045,6.796008011,6.709516798,6.837202487,6.673777373
Compound3736,6.728413857,6.727644541,6.642947066,6.654575408,6.752168492,6.606594418,6.753777946,6.729073254,6.70486745,6.712732063,6.618115274,6.653871711,6.671085069,6.834937207,6.555125286,6.654832091,6.810291545,6.731748092,6.709619733,6.803830938,6.780900958,6.592982559,6.805366221,6.584425493,6.585965372,6.674464363,6.854729564
Compound202,8.245909172,8.166497203,8.22119993,8.151218385,8.180819649,8.017147276,7.716698232,8.040930833,8.485085843,8.366808621,8.267507652,8.103072871,8.328833933,7.998353478,8.24089991,8.128053379,8.404887648,7.453192543,8.223623628,7.855632742,8.229868637,7.875635665,7.973022115,7.962467944,8.2686944,8.255068131,8.291938264
Compound2279,6.764303218,6.824949461,6.844959903,6.61346757,7.115728044,6.682597467,6.757783007,6.82715735,6.845458,6.73288886,6.83376979,6.773634622,6.865189474,6.738946007,6.824415531,6.973504211,6.815661897,6.707497926,6.540228957,6.756953046,6.718515251,6.690039677,6.695520183,6.675899949,6.527454385,6.815077713,6.741916907
Compound3276,6.949462408,6.735903398,6.82750355,6.720580735,6.934458577,6.985543224,6.958755421,6.737559327,6.913717166,7.03427462,6.947817355,6.779240462,6.791419595,6.858383969,6.850727554,6.81919603,6.863406531,6.953639203,7.022802664,6.899214646,6.923095176,6.803653739,6.874103983,7.050069444,6.887577009,6.865838,6.944055123
Compound595,8.095650798,8.21399453,8.08040305,7.707881352,8.094059263,7.886618297,7.89694779,8.069825676,8.099723371,7.885290784,8.299390483,8.041305046,8.030404553,8.087419936,7.380029668,8.033979887,7.787596999,8.146016037,8.016245412,8.112300687,8.197262498,8.127440987,8.012481576,7.960354144,7.912950933,7.868524731,8.16165003
Compound850,7.260699243,7.028346563,7.241499445,7.19150496,7.221819196,7.255149334,7.184405097,7.37204038,7.650636054,7.253779949,7.341976604,7.424862525,6.803097761,7.555943743,7.499215773,7.510635928,7.372486053,7.051824259,7.550074518,7.205779137,7.110156326,7.176012102,7.252029028,7.44811839,7.301974405,7.465887406,7.566181149
Compound1063,6.800349032,6.828577096,7.269422947,7.290228921,7.15318287,6.870474173,6.737848327,6.934660041,7.146880835,7.371808247,6.75655064,7.024169629,6.629432082,6.663469453,7.051161333,6.713915254,7.343552267,6.882983291,7.514564233,6.797874555,7.57427873,7.521077464,7.383567481,7.305085127,7.076984689,7.06367946,7.05042272
Compound3387,6.816178159,6.496077928,6.954054418,6.884188519,6.777564311,6.875019195,6.717427198,6.758930852,6.735709186,6.857821162,6.866215542,6.806897582,6.729391354,6.639871345,6.76446094,6.874233655,6.775991373,6.919611679,6.828094221,6.85688174,6.835123827,6.970538271,6.88192606,6.875916641,6.962319778,6.840016589,6.875033857
Compound3800,6.699987124,6.673947908,6.632189309,6.700408727,6.6895738,6.836168417,6.722008666,6.702595653,6.579694853,6.698398125,6.553590916,6.679636969,6.652474759,6.736691367,6.729795395,6.739887034,6.739306557,6.674355421,6.551494157,6.75419737,6.677515617,6.641050523,6.650426182,6.599245471,6.769293155,6.7529136,6.595776658
Compound215,8.202268944,6.685111681,6.755145845,6.459127254,6.708183115,6.48247448,6.594906948,6.574004583,6.61004895,6.598704803,6.76158758,6.583381193,6.630520771,6.718102896,6.71271337,6.695107282,6.66255684,6.689381186,7.25981147,6.495666008,6.780983914,6.731331752,6.603153487,6.613879767,6.638300968,6.75335124,6.500767946
Compound678,7.384820425,7.467048738,7.105120831,7.065949307,6.900672846,7.09729373,7.554222693,7.430939938,7.531367126,7.365737765,7.044327209,7.561035092,7.612832396,7.538301911,7.444394889,7.842485441,7.784592982,7.755047561,7.188668742,7.154292773,7.246482489,7.17570854,7.217445533,7.101348671,7.44354437,7.469445587,7.444555165
Compound937,7.504961477,7.695668106,7.330998023,7.292851709,7.416708927,7.469461531,7.419655551,7.436935228,7.366416754,6.952899758,7.494294826,6.863031693,7.461254103,7.41004031,7.167779775,6.856327008,7.361328995,6.936681698,7.65486938,7.373007553,6.989896369,7.417983092,7.429308169,7.287683536,7.072001077,7.360463696,7.610899297
Compound1016,7.550921124,7.524470966,7.675491593,7.602391856,7.491052264,7.248161993,7.65947322,7.357504074,7.519964448,7.504166021,7.487677563,7.429778645,7.622241365,7.392242521,7.74432815,7.708268643,7.532072113,7.362909059,7.697400291,7.321256431,7.440839932,7.674704075,7.664247797,7.365407733,7.726565366,7.577403249,7.542813594
Compound2476,7.042911989,6.969219008,7.245338688,7.085056123,7.0730962,7.068857855,6.936226901,7.07908878,7.042334253,7.062733707,7.028562032,7.133932004,7.076307265,7.026244368,7.173285955,6.85073692,7.055428348,7.149846972,6.72324464,7.241228981,7.240878377,6.689887875,6.777142146,7.072494474,7.090164223,7.019719499,6.970329315
Compound3989,6.283038671,6.620476155,6.41211908,6.688358736,6.539487141,6.591675004,6.415611995,6.540012395,6.605318598,6.686215099,6.704843985,6.667643218,6.668567632,6.508196471,6.642631671,6.573439075,6.616012354,6.697183657,6.711580858,6.535688024,6.464510675,6.660889739,6.64844361,6.547840625,6.650098294,6.520609037,6.527519207
Compound568,7.568704894,7.469730029,6.799730031,7.398002915,7.335392251,6.805821122,7.11786795,6.884748465,7.929438126,8.001816247,7.318264329,7.849577267,7.298404318,7.390833001,7.590738389,7.693928111,7.725632063,7.298070076,7.529106377,7.444787711,7.045754793,7.323039291,6.960521543,6.978639487,7.700697529,7.817900789,7.737715776
Compound2153,7.151423577,6.899008198,7.100914772,6.967043277,7.074950554,6.679893431,6.346934538,6.666309016,7.121629974,7.192995326,7.036321352,7.196519722,7.179601131,7.466868099,7.216848145,7.269780396,7.014013235,7.163955944,6.998447153,7.000700225,7.090004282,7.035085331,7.172995015,7.259246913,7.254753485,6.73507854,7.152819154
Compound3313,6.771869036,6.784490452,6.683157474,6.776535231,6.75948965,6.704985478,6.554365539,6.61147687,6.722874943,6.766835283,6.68063084,6.601729115,6.769393973,6.658285672,6.629449555,6.613095351,6.511549415,6.6121047,6.712672258,6.684043205,6.661896956,6.529381449,6.604648175,6.800644422,6.735339047,6.731928128,6.776683786
Compound1697,7.17505728,6.834610726,7.142745845,7.228244276,7.021349458,7.247095956,7.352268069,6.678098108,7.115784913,7.02923047,7.270677459,6.855145218,7.178542403,7.158326162,6.908608215,7.228484184,7.055164739,7.291031327,6.787665915,6.992934019,7.180857163,7.255934822,7.09444229,6.891950922,7.184598272,6.912023282,7.183658156
Compound2971,6.839389852,6.799648463,6.938428297,6.916137847,7.064702574,6.956216586,6.944405045,6.974072766,6.85821092,6.861156319,7.055396021,6.710902564,6.66051171,6.925167026,6.791611852,6.712767074,6.749866377,6.767605184,6.781898687,6.786486823,6.902361502,6.915435309,6.895394186,6.888330554,6.806196931,6.856105673,6.599774583
Compound3642,6.493026154,6.668244559,6.665339319,6.605449169,6.612755401,6.609339744,6.649825105,6.686705362,6.874458628,6.725552859,6.615204069,6.787128189,6.644922239,6.818239002,6.668048619,6.73587576,6.579800099,6.718169292,6.633715097,6.544999853,6.690644089,6.505288254,6.713071874,6.447773599,6.638639183,6.695937863,6.666141674
Compound1296,7.266369383,7.464176769,7.509208728,7.304721038,7.4935136,7.440049259,7.097262833,7.040012654,7.252281012,7.132518932,7.009450357,7.152052135,7.279387993,7.286027122,7.388082712,7.501472135,7.434715829,7.30630853,6.740872889,7.34124826,6.757634039,7.476631563,7.552150143,7.299719311,6.844521736,7.49823096,7.14971995
Compound1857,7.143495538,7.300527367,7.29606281,7.266075792,7.170108562,7.123352167,7.3313011,7.244947775,7.368586056,7.173030091,7.226369632,7.393098234,7.15809364,7.344558705,7.415576137,7.098740275,7.183895767,7.270130234,7.182168479,7.334511325,7.334866735,7.458630038,7.291914524,7.27316676,7.252570727,7.275583766,7.285457226
Compound1984,6.839711634,7.363724336,7.35294924,7.438642368,7.22771606,7.445617576,7.267276665,7.300903774,7.376069089,7.259657736,7.38159476,7.291105076,7.340462133,7.365768817,7.309940833,7.366961932,7.190726749,7.426422903,7.484216052,7.220344393,7.138460725,7.372826315,7.098246667,7.368924605,7.053064039,7.408852793,7.481141437
Compound3334,6.777152819,6.869010233,6.773508337,6.91628325,6.976668789,6.899326803,6.999747582,6.879053953,6.833453589,6.958075656,7.104152826,6.865518916,6.708964004,6.796838447,6.895304267,6.963513127,6.889588977,6.937933517,6.775759363,6.972151269,7.01906631,6.663410139,6.621541503,6.762306518,6.801022527,6.752337057,6.444146683
Compound3442,6.746452249,6.875959531,6.933800877,6.934680289,6.66396317,6.772956755,6.810679477,6.733127878,6.982736606,6.850379974,6.923422016,6.764468686,6.897922083,6.842883355,6.956711414,6.828196672,6.979136805,6.834937962,6.737699703,6.576328836,6.789202114,6.832100106,6.869907414,7.029694334,6.716694582,6.838147252,6.751348182
Compound3573,6.767820377,6.791595968,6.798764355,6.932295985,6.756102309,6.795440062,6.825854012,6.853543708,6.825912764,6.799399331,6.888541916,6.794004988,6.699850045,6.808074604,6.670789159,6.914690858,6.676860133,6.806896117,6.740521691,6.753936724,6.721888141,6.828996517,6.848586376,6.772530543,6.669332874,6.775796765,6.740443637
Compound15,8.495185394,8.743045476,8.514223453,8.369356949,8.519351312,8.501114221,8.380414683,8.537639843,9.182544709,8.603661501,8.710832286,8.2921583,8.535658776,8.370701338,9.231544693,8.450379791,8.377116417,7.163873659,8.236519421,8.339237017,8.356260176,8.320173368,8.587705734,8.537579767,8.455486108,8.066707865,7.500406592
Compound147,7.959737031,8.352702285,7.868773122,8.033073922,7.700743147,8.016010297,8.027912814,7.819897886,8.310131166,7.693204919,7.934134314,8.055919931,8.285799181,7.964274207,8.162081636,7.730800223,8.008897443,8.374996025,8.477707986,7.833524364,7.877579368,8.068308829,7.867413088,8.041673878,8.435439791,8.461023403,8.235394148
Compound262,8.251171238,8.43533805,8.320411294,8.04962675,8.350751715,8.389967786,8.378943615,8.535446915,8.45013169,8.380650294,8.573804742,8.264543107,8.326949683,8.397494335,8.421500551,8.549917998,8.36494693,8.194293797,8.550998793,8.532229956,8.398498156,8.56670153,8.239433192,8.068238485,8.094280355,8.355528396,8.402129473
Compound821,7.618535092,7.594963431,7.465676799,7.757506659,7.912206804,8.028850219,7.715678977,6.965111114,7.51196631,7.882296136,8.007162201,7.758031687,7.761075859,7.748288573,7.613917422,7.750426263,7.604315394,7.826936965,7.960802248,8.182137463,7.88986274,7.637808508,7.995319965,7.818785398,7.762945367,7.944315213,7.886061895
Compound1027,7.814866283,7.96138653,7.686093982,7.434058525,7.564707642,7.785560511,7.21987926,7.418395426,7.639324856,7.498656218,7.419216714,7.462391405,7.540652701,7.623046194,7.879503467,7.945051808,7.862480119,7.594778278,7.813340369,7.777860638,7.425967828,7.274751076,7.42905422,7.504160966,7.779404667,7.812465403,7.574495242
Compound1465,6.916724054,6.815478803,6.952223018,6.791278691,6.842176604,6.719134371,6.880272841,6.889888041,7.393906857,7.135898865,6.924347933,6.926767239,7.108055331,6.898822037,6.998783641,6.971134553,7.003357319,6.81370732,6.594431002,6.817752586,6.865099953,6.795601114,6.84166914,6.61854412,6.944036334,7.007860499,6.780501259
Compound2051,7.185054003,7.127581279,7.166047862,7.226621337,7.319474367,7.162685254,7.308211681,7.312902876,7.112578102,7.128344743,7.185325949,7.072959352,7.084832303,7.081430358,7.052586281,7.260675816,7.175168304,7.126694332,7.240377914,7.023176391,7.314867041,7.128530859,7.338422216,7.037493226,7.195187538,7.11541971,6.770005706
Compound2155,7.013993843,6.971045285,7.085563883,6.726192616,7.141469714,6.872491951,6.918281466,6.838317508,7.091309587,6.850237313,7.025457093,6.784801643,6.912367762,7.096175489,7.037715133,6.940028344,7.051131611,6.76480467,6.843789781,6.750878774,6.971036606,6.984661398,7.074374358,7.153259854,6.968519783,6.890606401,6.917203776
Compound3207,6.776110369,6.632246497,6.814312451,6.732939535,6.793599211,6.570366708,6.633800584,6.483776546,6.783919047,6.601267535,6.722450219,6.747134549,6.697960863,6.601047666,6.68338136,6.741451371,6.719168608,6.722635711,6.909169391,6.597736857,6.721580655,6.633429957,6.846703397,6.796309493,6.726585709,6.821568408,6.749961183
Compound3721,6.747633958,6.704819001,6.649166087,6.778881511,6.61794226,6.67237965,6.701705263,6.50134935,6.602445276,6.884789332,6.624490001,6.642410086,6.626676744,6.765318573,6.75395661,6.734779866,6.654824463,6.714722831,6.590615625,6.612578907,6.760582883,6.643295045,6.56923466,6.46271222,6.699979167,6.667686654,6.664185093
Compound1439,7.386202167,7.016522633,6.634059784,7.233586583,7.216283997,7.199197649,7.023861112,7.386538557,7.356609039,7.246890663,7.159167087,7.452706418,7.110765889,6.927423946,7.061046972,6.989419003,7.155278825,7.191139579,7.257396494,7.231111635,7.151557768,7.043859888,7.318021761,7.09380039,7.206126981,7.06549967,7.348319544
Compound2401,6.741450293,6.938046276,6.814957333,6.727430215,6.818532314,6.602966661,6.782210698,7.033024558,6.6690069,6.823728029,6.838482105,6.921087575,6.845602273,6.691548715,6.818020461,6.942897919,6.840060137,6.928163328,6.642641563,6.739624413,6.811156306,6.866515503,6.780447555,6.895724476,6.770548037,6.797184528,6.796848074
Compound3110,6.773604146,6.757591577,6.824250917,6.849205946,6.806692,6.914617777,6.904998927,6.873143581,6.818518248,6.746636423,6.877615676,6.969877249,6.937963294,6.915462379,6.730359956,6.971718313,6.67706804,6.850949796,6.877260363,6.937071103,6.770597145,6.873908943,6.957590582,6.891656932,6.79979318,6.991220712,6.853117882
Compound1029,7.42592783,7.499966466,7.569977152,7.205623191,7.0248931,7.05571595,7.424832858,7.178896886,7.456725198,7.146786818,7.522346711,7.578532699,7.621131241,7.450761194,7.387847798,7.595030607,7.66956245,7.285997336,7.015533325,7.60280706,7.182443654,7.251009593,7.345216661,7.041197627,7.206852609,7.276342519,7.495826947
Compound1540,7.226303371,7.404592803,6.909624835,7.001678743,7.47391125,7.089845719,7.414172001,7.562356165,7.328633655,7.670170646,7.0327117,7.270216554,6.964045312,7.465271609,7.131981018,7.562307334,7.421590971,7.414416274,7.194021118,7.385571726,7.267033222,7.477613431,7.442831711,6.930923451,7.575587761,7.477326055,6.959480637
Compound3289,6.701389352,6.696899656,6.836690411,6.9112332,6.771161229,6.885239507,6.779942116,6.969725206,6.828134319,6.921864647,6.783539392,6.797272755,6.904753699,6.822364639,6.532619674,6.918112053,6.860205702,6.904012992,6.81345467,6.901173754,6.975337732,7.104280753,6.941593268,6.764923653,6.744390619,6.849929075,6.835079335
Compound3842,6.731371991,6.659887252,6.548560242,6.574771912,6.608662223,6.706321661,6.711959285,6.710107064,6.668419837,6.693823684,6.77571454,6.746744299,6.789875093,6.702561781,6.733413729,6.582343337,6.694113378,6.746547525,6.801278393,6.604362475,6.623233255,6.70298209,6.788327004,6.649026915,6.639345516,6.670445612,6.633284709
Compound200,7.296473528,8.523741858,7.478143411,7.047292971,6.953914408,7.076118521,7.567455083,8.324508507,7.570675384,7.480309988,7.325835011,7.491971478,8.095970233,7.500618209,7.864846888,8.074402766,7.384608221,7.775921771,7.061052602,7.599177824,7.684938194,7.227957127,7.157442364,7.252758302,7.801677468,8.070719809,8.254241779
Compound368,8.155673713,8.15644835,7.968111481,7.913697575,7.960563041,8.071735679,8.159485172,8.167580208,8.067887564,8.128500375,7.77024562,8.115403078,8.082322769,8.165124617,7.793073919,7.960977568,8.116827862,7.846168362,8.045725693,8.026687314,8.106813724,7.996247961,8.061525895,7.995097943,8.182880871,8.069986134,8.185623314
Compound941,7.168467695,6.746165538,7.027984383,6.269525639,6.990901084,6.378671496,7.582562084,6.906063459,6.817033501,7.000128711,6.989217768,6.773075878,6.988765148,7.110151362,6.822475521,7.145734297,6.933312372,7.106765945,6.754234214,7.005933288,6.808331236,6.571991098,6.958610172,6.934577297,7.046662672,6.897564487,6.944878422
Compound1655,7.273982296,7.095434503,6.648619684,6.887348795,7.032438897,6.834602704,6.65352714,7.047524885,7.009583044,6.847026916,6.94501356,6.944391669,7.259965461,6.858749498,6.771928046,7.06089789,6.933992672,6.96610446,7.023522364,6.961423034,7.059104243,6.736862074,6.984300328,7.190076403,7.056453418,7.045355876,7.00548948
Compound2768,7.014159321,6.624121002,7.052646082,7.035940421,6.841070341,6.987028503,7.023950407,7.138859309,6.535733994,6.955662648,6.885304434,7.049630021,6.981789729,6.89105205,7.063923552,6.598708213,6.759677631,6.702727498,7.017603897,6.948077642,6.504228622,6.978411189,7.134533717,7.091833041,7.132614975,6.946081624,7.028926418
Compound3243,6.803146507,6.934875892,6.934700819,6.911578584,6.775303277,6.927346868,7.018275342,6.953518927,6.816271736,7.015917833,6.516796493,6.834567031,6.95232604,6.80331064,6.896798376,6.909798883,6.683667852,6.920743686,6.730688829,6.840791162,7.065087443,7.019365192,6.77614102,6.910228803,6.807410966,6.941607535,6.784265496
Compound689,7.364403993,7.670988479,7.322165528,7.507868622,7.053906727,7.443350207,7.238780169,7.183562517,7.24309585,7.055286015,7.507681198,7.531428681,7.314404608,7.409220641,7.176753796,7.474446095,7.734499641,7.644607641,7.481058096,7.324230854,7.264548716,6.845686454,7.494976438,6.997580355,7.106182843,7.207622021,7.213555425
Compound1990,7.123173993,7.280721252,7.005583859,7.170279247,7.40954542,6.953590781,7.190095123,7.013599527,7.120205013,7.168658001,7.193386725,7.344914808,7.095001829,7.074358551,7.215904586,7.23101337,6.831981217,7.30627253,7.154652982,7.071453032,7.161864076,6.938551194,6.985020284,7.199436711,7.239707479,7.144522771,7.057682556
Compound2156,6.644887995,6.674186588,6.710074958,6.677052489,6.666221937,6.741601476,6.760129518,6.726216604,6.831872731,6.73164398,6.634060444,7.006074549,6.587556071,6.796745625,6.647715314,6.626755002,6.726100615,6.603755625,6.734217101,6.658386035,6.711134306,6.640966237,6.678179321,6.780801426,6.656933907,6.819737246,6.699315042
Compound2846,6.962835857,6.718487707,7.129570757,7.17611294,7.031698754,7.017249789,6.984099628,6.994397459,6.939042553,7.108565143,6.696144616,6.847002907,6.940778789,6.931732219,6.976553747,6.878956827,6.86582022,7.119817284,7.074500544,7.080679854,7.088675767,7.067987113,7.111092699,6.542539354,6.776925706,6.225679665,6.62845677
Compound746,7.353779756,7.209260049,7.459369348,7.452000793,7.82515381,7.459659503,7.566590119,7.401901634,7.073144323,7.252939957,7.621393296,7.587541728,7.809967322,7.485263431,7.410411011,7.714145181,7.604676099,7.677960287,7.440584829,7.280265319,7.343170868,6.882565489,7.610396333,7.30837279,7.663371912,7.17393834,7.225465587
Compound2098,7.313277941,6.94252516,7.273898435,7.100569845,7.271599178,7.168735328,7.373728499,6.831431646,7.201178425,7.096775599,7.508016639,6.876108497,6.913045738,7.268198295,7.446536379,7.232976566,7.204105916,6.966947809,7.229806051,6.628736152,7.354130883,7.445270874,7.070450264,7.451270766,7.279966077,7.182023076,7.515807809
Compound3518,6.856651488,6.426768589,6.854278266,6.629150282,6.912172297,6.843246036,6.724722996,6.838138996,6.733033245,6.745620922,6.829390773,6.954473844,6.750651771,6.640513767,6.608115445,6.80376413,6.783804076,6.844036741,6.739952214,6.594263645,6.80181713,6.679811884,6.819585577,6.880820406,6.802214397,6.59363274,6.798965178
Compound163,8.25238154,7.516874976,7.829639714,7.728317481,7.955630094,7.812401293,8.291097247,8.426120784,7.990626314,8.094483178,7.648443965,7.839503305,7.668421603,7.939231343,7.886766431,8.129140048,7.195931565,8.017198986,8.212968622,8.365085362,7.930218195,8.080568482,7.810242246,8.21483057,7.988567044,7.724827761,8.2598875
Compound824,7.602991481,7.755111007,6.982165075,7.269038103,7.00107241,6.996707206,7.068204545,6.972106444,6.963945963,7.420637157,7.274250613,7.302292011,7.320753779,7.434216395,7.369236453,7.301407823,7.281501034,7.214786718,7.402170893,7.133377956,7.420096463,7.309341385,7.42222964,6.92381295,7.800416071,7.34088248,7.258811783
Compound1389,7.172899636,6.921132804,7.033818157,7.266962204,7.248805037,7.120567594,6.796845237,7.18915194,7.395634853,7.192621044,6.919279317,7.062134441,7.436475739,7.276452748,7.299276747,6.786171936,7.305755385,7.006490286,7.175381471,6.916144016,6.727696171,7.129755301,7.26158621,7.206383283,7.169000818,7.395238119,6.814696512
Compound5,8.552688784,9.706886553,7.546484816,8.783040192,8.281809657,7.818274882,8.72979183,9.559031259,8.805881018,8.717491161,8.54594306,8.628714316,9.31994017,8.834790136,8.645187843,8.872761861,8.941410271,8.746778581,8.342098842,8.755633353,9.319011405,8.23150729,8.27170422,8.135303445,7.827022857,8.859416249,9.133372553
Compound1119,7.717654285,7.699653854,7.581808857,7.70572518,7.34003867,7.8451346,7.838239618,7.564838287,7.595681647,7.823555536,6.957440503,7.545827467,7.250850555,7.612377858,7.53774763,7.833529124,7.581846594,7.494753211,7.552644219,7.127959818,7.34245822,7.710906165,6.997712272,7.752193907,7.54120622,7.884747929,7.803962506
Compound1700,7.005993625,6.931988271,7.099896496,7.168796955,6.950412775,6.698319484,6.987039701,7.027113605,6.770772627,7.329830284,7.106427655,6.993013783,6.940480553,7.090135312,7.019644279,6.878125349,7.107193796,7.01455197,6.997021755,6.912784985,6.892576612,7.067934465,7.047851173,7.160520436,6.774522672,7.124730564,6.938931231
Compound1647,7.191730263,7.300285609,7.15776299,7.17872154,7.300943477,7.294438021,7.330122644,7.15634944,7.251272246,7.414401186,7.382355375,7.389894807,7.190279492,7.350163978,7.245801612,7.271370142,7.194536569,7.156517066,6.996981109,7.032490268,7.377668087,7.331959682,7.228836074,7.354582024,7.335761156,7.354484886,7.206026173
Compound3174,6.723184255,6.425897343,6.701509584,6.694029559,6.65106014,6.622160318,6.893951834,6.324100227,6.487636387,6.771675936,6.584634207,6.835087679,6.530437951,6.792573913,6.694196472,6.721465038,6.615825784,6.750827856,6.474736138,6.66566626,6.794550807,6.764932222,6.760225646,6.772049444,6.666578587,6.806706108,6.71475534
Compound3458,6.777305263,6.967401562,6.760533958,6.7779368,6.841207167,6.771855699,6.959646015,6.862730568,6.865163158,6.837944317,6.554956944,6.83180759,6.87727494,6.963909183,6.69428157,6.575189007,6.894635427,6.570279691,6.881602745,6.804120988,6.847396584,6.660907433,6.803370189,6.832482939,6.745543205,6.813792573,6.650102813
Compound3888,6.682478517,6.639236761,6.58134821,6.71008531,6.763611841,6.732497188,6.682238952,6.670236227,6.561335904,6.502142153,6.639959422,6.624178884,6.753033531,6.66803105,6.51804959,6.593194567,6.660233292,6.663631501,6.669768689,6.566254956,6.724520615,6.621938218,6.642823922,6.687606862,6.537813979,6.610879997,6.657417086
Compound2616,6.977228258,7.002786763,7.068574874,6.917371695,7.135929166,7.184182616,7.229931898,7.006945017,6.839507023,7.103851251,7.128109768,7.031530416,7.017622693,6.770556621,7.141067898,6.90696425,6.897642554,7.027979457,6.986030351,7.203909431,7.197448748,7.0820115,7.006291486,7.079309993,7.15913295,7.082974851,7.021517257
Compound613,7.550941397,7.843911401,7.296426045,7.839152582,7.516004184,7.178072338,7.337064201,7.488280785,7.444534521,7.658931248,7.575495141,7.754238363,7.895796252,7.652382349,7.594126803,7.466142928,7.825928881,7.815123764,7.753232028,7.021265642,7.407429258,7.336454773,7.399501304,7.768576996,7.586750277,7.033094419,7.719475991
Compound2228,6.843292476,6.716369096,6.787921069,6.631462378,6.733765563,6.92022013,6.843368918,6.834975789,6.83179725,6.877317747,6.910462351,6.962022025,6.839275839,6.729434323,6.86796638,6.644576742,6.665496339,6.961185745,6.56252978,6.920328658,6.816427621,6.66441597,6.789726153,6.974390552,6.732193612,6.779725304,7.169159741
Compound2369,6.616166576,7.120968944,7.166419901,7.227612439,6.857255723,7.086764875,6.99818209,7.022982948,7.191633366,7.118702377,7.084749962,7.009412282,6.956393855,7.218371898,6.958275317,7.183598176,7.147633427,6.655509157,7.301135348,6.982727289,7.244038586,6.993439072,6.870463172,7.257847986,7.22179858,7.187182033,6.970879994
Compound4215,5.712180376,5.650530001,5.770635149,5.44217044,5.525246288,5.531467957,5.615983131,5.604824766,5.786141712,5.911828886,5.828523186,5.896421265,5.644226023,5.767183753,5.76753551,5.702148046,5.641185112,5.652872743,5.726068209,5.8136217,5.611325183,5.77700862,5.531249392,5.947756553,5.70400139,5.71451087,5.658453425
Compound830,6.958650429,7.228832632,7.106633885,7.532375172,7.503470481,7.144569019,6.953418095,7.287192871,7.441698547,7.31877138,7.367198046,7.487330302,7.451024449,7.488264725,7.447551735,7.331542643,7.324169124,7.147494359,7.193485295,7.210118459,7.341328358,7.258971861,7.176628175,7.321009453,7.361343535,7.284864387,7.287507453
Compound998,7.638471342,7.318415451,7.526789953,7.885914442,7.287813902,7.532171179,7.80014191,7.441580462,7.390556643,7.701085697,7.769391968,7.69352955,7.713654798,7.879358473,7.560631533,7.573100504,7.240511331,7.67947422,6.443375202,7.710508542,6.685323443,7.757124501,7.598000894,7.698913182,7.720709452,7.791502953,7.312007691
Compound817,7.795768241,7.711208402,7.699274691,7.50286207,7.70968326,7.861055628,7.713599922,7.832619743,7.582984354,7.799826225,7.532945547,7.706798463,7.748749245,7.077296442,7.539620305,7.619713713,7.836714273,7.345470047,7.379685608,7.814087922,7.813108938,7.595141148,7.750671984,7.631537315,7.600803482,6.893692076,7.515885764
Compound1853,6.563975182,6.916188955,6.87366519,6.81646702,6.381060061,6.90042788,7.029500751,6.912849159,7.096020808,6.853740147,6.699129814,6.928323536,7.103050937,6.845316584,7.062927139,7.14175427,7.169892095,7.272125854,6.459591623,6.826172148,6.915639313,6.884930836,6.941118651,6.504824388,6.71454776,6.981613469,6.720019193
Compound1380,6.969199441,6.948745305,7.163734374,6.780852476,6.95175077,6.837266922,6.816016215,6.911569799,7.405944359,6.993174154,6.980976219,7.365592031,6.928950128,6.870229688,6.978896092,6.755118469,6.9602604,6.816835956,7.005101125,6.82934424,6.946030075,6.996762668,7.009100917,6.936790274,6.927513138,6.944420699,7.025261011
Compound1616,7.05544638,7.171139773,7.14418791,7.077023664,7.188880606,7.256763228,7.087083329,7.173359247,6.993992264,7.308429808,7.131293054,6.611202412,7.295588043,7.050539334,6.590216635,7.259273672,7.071004672,7.147249671,7.255050976,7.004590393,7.068603559,7.31779747,6.893743661,7.323783626,7.151473133,7.166762455,7.160735802
