Sample Annotation,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27
Compound1569,7.202241881,7.482065565,7.176919863,7.288676199,7.260106921,7.17855514,7.329123386,7.279431636,7.298740484,6.463196929,7.27096756,7.423420695,7.092809561,7.452108042,7.158582357,7.450263982,6.9683189,7.265539097,7.15831758,7.212618819,6.790527591,7.086118437,7.226347137,7.468945934,7.327009616,7.433420842,7.287948315
Compound1970,7.373761911,6.921061995,7.414632449,7.323532883,7.365054773,7.579042488,7.179431443,7.420339949,7.129536001,7.278721691,7.349142931,7.254939838,7.423783119,7.260793061,7.131241498,7.362280542,7.147343216,7.36904818,7.36597629,7.127411619,7.263079191,7.405238775,7.393350644,7.345005948,7.118379872,7.389789619,7.287323333
Compound4134,6.37472034,6.372887445,6.190268153,6.251862315,6.362170967,6.427100568,6.335797005,6.39937934,6.25645259,6.27695061,6.437982387,6.412793671,6.376330545,6.420192169,6.113473211,6.313559577,6.591408052,6.458121996,6.465856883,6.38938441,6.52969233,6.354902444,6.272088271,6.457077793,6.478940582,6.155976616,6.397273803
Compound2291,6.878149849,7.113841654,6.489414694,7.064342388,7.027665359,7.020822907,6.657469781,6.997750407,6.999643396,6.713799383,6.895702885,7.069810412,6.798955488,7.048567634,6.469045326,6.942095325,7.001910569,7.118610472,7.024041877,7.089078748,7.104250609,6.885895835,6.867930226,6.961574829,6.975054805,6.310387712,6.980616867
Compound918,7.501731759,7.281435562,7.50955325,7.204481087,7.572579098,7.477603355,7.517267719,7.424913095,7.358944854,7.493001047,7.334759041,7.383875292,7.314226075,7.540949946,7.446026623,7.38468367,7.575278655,7.567400643,7.324309392,6.964785623,7.55308934,7.444545736,7.126149093,7.446252746,7.116397014,7.422398232,7.293995914
Compound1195,7.815708728,7.188322257,7.513656618,7.508967032,7.233715902,7.448017325,7.62764955,7.477660753,7.500358197,7.553673626,7.650074246,7.715227498,7.054092845,7.633038431,7.100088682,7.503531203,7.518483478,7.843621293,7.480903979,7.415735487,7.55722525,7.587392145,7.728334301,7.620979839,7.49134787,7.380587437,7.595890201
Compound1947,6.936713863,7.172420927,6.989838735,7.005587837,6.90686617,6.99348361,6.654534331,7.097657523,7.03372344,6.935079268,6.927337632,7.056962056,7.022207508,6.899246891,6.97720903,7.244795347,6.824634666,6.887931802,7.082437582,7.118700998,6.646603466,6.946975952,6.446348981,6.711684604,6.986521719,7.025472362,6.840084423
Compound2427,6.780273246,6.749949284,6.710527653,6.62454448,6.779142753,6.769136456,6.890037324,6.662517161,6.793289081,6.794238014,6.795208737,6.740393629,6.777347922,6.847972699,6.97374972,6.679001019,6.68271928,6.86155079,6.724025311,6.695366026,6.824877314,6.65148868,6.781299126,6.539089433,6.83512891,6.704477671,6.777431881
Compound2491,6.826749644,6.852716994,6.775951036,6.857548176,6.792277558,6.74784223,6.874711373,6.78390814,6.778325616,6.859602582,6.874325718,6.835713856,7.016051939,6.975527084,7.065925312,7.027771114,6.769422438,6.952218394,6.673933967,6.698625854,6.674023768,6.902228686,6.849997434,6.73168906,7.071240498,6.670181919,6.818888019
Compound970,6.817087441,7.324859258,7.1816039,7.486987275,7.582932607,7.279928789,7.576405614,7.620800969,7.500096874,7.630803278,7.307426895,7.735706978,7.719048542,6.895546576,7.422090092,7.243372302,7.638545212,7.603442719,7.304849289,7.237493008,7.352122715,7.342603651,7.326972072,7.429210287,6.922673362,7.605065335,7.597885035
